"postTitle","postDescription","text","likesCount","facebookUrl"
"كي تكون الماكلة سيف فالدامة، لازم تخمم زوج مرات قبل ماتديسيدي كونطر شكون تلعب! بصح في حالتنا اليوم، اللّي جانا مرحبا بيه 😁، قولولنا لوكان انتوما شكون تخيروا؟

 #bimo #بيمو #bimoalgerie #مجمع_بيمو #groupe_bimo #groupebimo #Crox #OBimo",,"اوبيمو ذقتو بصح كروس منعرفوش منريسكيش بلبنة نريسكي بلمعروف 😂😂😂 كيما يقولو المعروفة خير من تالفة 😌","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aRzZLqjCjhn9grZttKKyaEN9D7xtZo2AjWryRvrcX8M2EiyDGofeiLmGMz1mVZiWl"
"كي تكون الماكلة سيف فالدامة، لازم تخمم زوج مرات قبل ماتديسيدي كونطر شكون تلعب! بصح في حالتنا اليوم، اللّي جانا مرحبا بيه 😁، قولولنا لوكان انتوما شكون تخيروا؟

 #bimo #بيمو #bimoalgerie #مجمع_بيمو #groupe_bimo #groupebimo #Crox #OBimo",,"ارواحلي طابي بصح نا نلعب ببرينو و نتا تلعب بشيكو بش اذا ربحت انا نا نربح شيكو و اذا ربحت نتا تربح برينو (في جميع الحالات رابح) 😉😉😉😉","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aRzZLqjCjhn9grZttKKyaEN9D7xtZo2AjWryRvrcX8M2EiyDGofeiLmGMz1mVZiWl"
"كي تكون الماكلة سيف فالدامة، لازم تخمم زوج مرات قبل ماتديسيدي كونطر شكون تلعب! بصح في حالتنا اليوم، اللّي جانا مرحبا بيه 😁، قولولنا لوكان انتوما شكون تخيروا؟

 #bimo #بيمو #bimoalgerie #مجمع_بيمو #groupe_bimo #groupebimo #Crox #OBimo",,"قلتها و نعاودها و الله مكان أدمن كيما هاذ لاباج 😂😂😂😂😂🤣😂🤣و بيمو و تحلى الحياة","3","https://www.facebook.com/BimoAlgerie/posts/pfbid0aRzZLqjCjhn9grZttKKyaEN9D7xtZo2AjWryRvrcX8M2EiyDGofeiLmGMz1mVZiWl"
"كي تكون الماكلة سيف فالدامة، لازم تخمم زوج مرات قبل ماتديسيدي كونطر شكون تلعب! بصح في حالتنا اليوم، اللّي جانا مرحبا بيه 😁، قولولنا لوكان انتوما شكون تخيروا؟

 #bimo #بيمو #bimoalgerie #مجمع_بيمو #groupe_bimo #groupebimo #Crox #OBimo",,"U impressed me as always 3ami bimo lmoukh😇 l’essentiel pour moi dima l’équipe Bimo galette ♥️","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aRzZLqjCjhn9grZttKKyaEN9D7xtZo2AjWryRvrcX8M2EiyDGofeiLmGMz1mVZiWl"
"كي تكون الماكلة سيف فالدامة، لازم تخمم زوج مرات قبل ماتديسيدي كونطر شكون تلعب! بصح في حالتنا اليوم، اللّي جانا مرحبا بيه 😁، قولولنا لوكان انتوما شكون تخيروا؟

 #bimo #بيمو #bimoalgerie #مجمع_بيمو #groupe_bimo #groupebimo #Crox #OBimo",,"و تانغووو وين بيمو وتحلى حياة 😂😂😂😂🤣🤣🤣","2","https://www.facebook.com/BimoAlgerie/posts/pfbid0aRzZLqjCjhn9grZttKKyaEN9D7xtZo2AjWryRvrcX8M2EiyDGofeiLmGMz1mVZiWl"
"كي تكون الماكلة سيف فالدامة، لازم تخمم زوج مرات قبل ماتديسيدي كونطر شكون تلعب! بصح في حالتنا اليوم، اللّي جانا مرحبا بيه 😁، قولولنا لوكان انتوما شكون تخيروا؟

 #bimo #بيمو #bimoalgerie #مجمع_بيمو #groupe_bimo #groupebimo #Crox #OBimo",,"هو يقولي الماكلة سيف و انا نقولو علاه تحلف 🤣","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aRzZLqjCjhn9grZttKKyaEN9D7xtZo2AjWryRvrcX8M2EiyDGofeiLmGMz1mVZiWl"
"كي تكون الماكلة سيف فالدامة، لازم تخمم زوج مرات قبل ماتديسيدي كونطر شكون تلعب! بصح في حالتنا اليوم، اللّي جانا مرحبا بيه 😁، قولولنا لوكان انتوما شكون تخيروا؟

 #bimo #بيمو #bimoalgerie #مجمع_بيمو #groupe_bimo #groupebimo #Crox #OBimo",,"مانلعبش ههههههع","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aRzZLqjCjhn9grZttKKyaEN9D7xtZo2AjWryRvrcX8M2EiyDGofeiLmGMz1mVZiWl"
"بزاف حاجات تختلفوا فيها، واليوم رانا جبنالكم اللّيسة وكل واحد يقولنا كيفاش يحب يبنّج منتوجو المفضل🤗 صفرا، حمرا، سودا، بالحليب.... الخ المهم الهدرة فالتعليقات👇😁

 #بيمو #bimo #groupebimo #groupe_bimo #مجمع_بيمو #bimoalgerie #ThisOrThat",,"درت الأجوبة في الورقة بصح ماكاش كومنتس بالصورة 😢","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aDDTZ8Ra7qVSU7t3ETDLcQLUxjXCXUawp8vkYBEPQJZtY9ZqfMuDYPxgTXrjKd6Yl"
"بزاف حاجات تختلفوا فيها، واليوم رانا جبنالكم اللّيسة وكل واحد يقولنا كيفاش يحب يبنّج منتوجو المفضل🤗 صفرا، حمرا، سودا، بالحليب.... الخ المهم الهدرة فالتعليقات👇😁

 #بيمو #bimo #groupebimo #groupe_bimo #مجمع_بيمو #bimoalgerie #ThisOrThat",,"حقيقة نحب نتشختشخ بالكاطو كاسكروت و نبنج بالدوبل ميكس سيرتو في فواياج طويل هههه و للمخيرة  كي نحب تحلية ناكل تونغو اه يا لوكان ترجعونا قاطو كاين ايجي فيه 12 حبة تاع شيكولاطة نسيت اسمو مي نورمالمو سامبا","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aDDTZ8Ra7qVSU7t3ETDLcQLUxjXCXUawp8vkYBEPQJZtY9ZqfMuDYPxgTXrjKd6Yl"
"بزاف حاجات تختلفوا فيها، واليوم رانا جبنالكم اللّيسة وكل واحد يقولنا كيفاش يحب يبنّج منتوجو المفضل🤗 صفرا، حمرا، سودا، بالحليب.... الخ المهم الهدرة فالتعليقات👇😁

 #بيمو #bimo #groupebimo #groupe_bimo #مجمع_بيمو #bimoalgerie #ThisOrThat",,"تحلية بلبوتي بيمو بتشكليطة من اونمباسادوور واش نقوللك وتزيد شخشخ بلا ممنساوه فلغيبية","1","https://www.facebook.com/BimoAlgerie/posts/pfbid0aDDTZ8Ra7qVSU7t3ETDLcQLUxjXCXUawp8vkYBEPQJZtY9ZqfMuDYPxgTXrjKd6Yl"
